# freq_THz  G_total  G_In  G_Se
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=4; block_duration_ps=16.38400000; df_THz=0.06103516; total_equals_sum_of_partials=True
1.7150878906e+01 6.4084498474e-04 3.6692404525e-04 2.7392093949e-04
1.7211914062e+01 6.3688871634e-04 3.6231996175e-04 2.7456875459e-04
1.7272949219e+01 6.3185836722e-04 3.5464634160e-04 2.7721202563e-04
1.7333984375e+01 6.2905203976e-04 3.5120010963e-04 2.7785193013e-04
1.7395019531e+01 6.2318567998e-04 3.4560227267e-04 2.7758340731e-04
1.7456054688e+01 6.1599544595e-04 3.3908722283e-04 2.7690822313e-04
1.7517089844e+01 6.1736842701e-04 3.3768530804e-04 2.7968311898e-04
1.7578125000e+01 6.1293510019e-04 3.3412666733e-04 2.7880843286e-04
1.7639160156e+01 6.1064749867e-04 3.3045253535e-04 2.8019496332e-04
1.7700195312e+01 6.0595417017e-04 3.2541739705e-04 2.8053677312e-04
1.7761230469e+01 5.9993667307e-04 3.2152843017e-04 2.7840824290e-04
1.7822265625e+01 5.9297504515e-04 3.1658870455e-04 2.7638634060e-04
1.7883300781e+01 5.8402238789e-04 3.1066886563e-04 2.7335352226e-04
1.7944335938e+01 5.7921617925e-04 3.0662804208e-04 2.7258813717e-04
1.8005371094e+01 5.7536927385e-04 3.0287705525e-04 2.7249221861e-04
1.8066406250e+01 5.7035788576e-04 2.9799176847e-04 2.7236611728e-04
1.8127441406e+01 5.6501063082e-04 2.9502208322e-04 2.6998854760e-04
1.8188476562e+01 5.5794203716e-04 2.8891506445e-04 2.6902697271e-04
1.8249511719e+01 5.5181516090e-04 2.8389495705e-04 2.6792020385e-04
1.8310546875e+01 5.4955347880e-04 2.8126983959e-04 2.6828363921e-04
1.8371582031e+01 5.4664575762e-04 2.7836841821e-04 2.6827733941e-04
1.8432617188e+01 5.4423285824e-04 2.7596637690e-04 2.6826648134e-04
1.8493652344e+01 5.4342833225e-04 2.7383384002e-04 2.6959449223e-04
1.8554687500e+01 5.3947971815e-04 2.7159230422e-04 2.6788741393e-04
1.8615722656e+01 5.3483001601e-04 2.6852257247e-04 2.6630744355e-04
1.8676757812e+01 5.3907718635e-04 2.6859097606e-04 2.7048621029e-04
1.8737792969e+01 5.4198442626e-04 2.6902779070e-04 2.7295663556e-04
1.8798828125e+01 5.4122461580e-04 2.6736988456e-04 2.7385473125e-04
1.8859863281e+01 5.4160443095e-04 2.6623512903e-04 2.7536930192e-04
1.8920898438e+01 5.4205978899e-04 2.6607371892e-04 2.7598607008e-04
