# frequency_THz total_states_per_THz_per_atom Ga_contribution S_contribution
4.360000000000004761e+00 3.674448448815569312e-01 2.350385271836546996e-01 1.324063176979022871e-01
4.380000000000004334e+00 3.881650550786433507e-01 2.478493686676104812e-01 1.403156864110330360e-01
4.400000000000003908e+00 4.097377108230079168e-01 2.611556283107135945e-01 1.485820825122942668e-01
4.420000000000004370e+00 4.311568990473039764e-01 2.742985709443073739e-01 1.568583281029966026e-01
4.440000000000004832e+00 4.511147935548296406e-01 2.864289246932142374e-01 1.646858688616153199e-01
4.460000000000004405e+00 4.680696889547173445e-01 2.965558079987700713e-01 1.715138809559474953e-01
4.480000000000003979e+00 4.803808183271182641e-01 3.036383387642208609e-01 1.767424795628975420e-01
4.500000000000004441e+00 4.865000235529450823e-01 3.067119095455054789e-01 1.797881140074399364e-01
4.520000000000004903e+00 4.851929320717507932e-01 3.050300313138060715e-01 1.801629007579443609e-01
4.540000000000004476e+00 4.757487065088987777e-01 2.981946009140964970e-01 1.775541055948029467e-01
4.560000000000004050e+00 4.581328648192265485e-01 2.862456521447182545e-01 1.718872126745081830e-01
4.580000000000004512e+00 4.330450848707499967e-01 2.696876773938410299e-01 1.633574074769089113e-01
4.600000000000004974e+00 4.018625627164305048e-01 2.494425264476141657e-01 1.524200362688160615e-01
4.620000000000004547e+00 3.664747670019059544e-01 2.267353478255463295e-01 1.397394191763599858e-01
4.640000000000004121e+00 3.290402009603682898e-01 2.029353163732207088e-01 1.261048845871478308e-01
4.660000000000004583e+00 2.917128600542344685e-01 1.793825497571261973e-01 1.123303102971082851e-01
4.680000000000005045e+00 2.563907231452646207e-01 1.572340562176395562e-01 9.915666692762500900e-02
4.700000000000004619e+00 2.245301332634152547e-01 1.373548492138980670e-01 8.717528404951731258e-02
4.720000000000004192e+00 1.970516594993862725e-01 1.202680582815867927e-01 7.678360121779950753e-02
4.740000000000004654e+00 1.743409377353228318e-01 1.061639017695462928e-01 6.817703596577651126e-02
4.760000000000005116e+00 1.563283889831609541e-01 9.495565106174250203e-02 6.137273792141856310e-02
4.780000000000004690e+00 1.426192283700793428e-01 8.636380911655003323e-02 5.625541925352939288e-02
4.800000000000004263e+00 1.326415548422925639e-01 8.000838965825186888e-02 5.263316518404059785e-02
4.820000000000004725e+00 1.257844537720384792e-01 7.549245878992269509e-02 5.029199498211578412e-02
4.840000000000005187e+00 1.215069685844743785e-01 7.246601378650932568e-02 4.904095479796503898e-02
4.860000000000004761e+00 1.194089842690786302e-01 7.066567301942272561e-02 4.874331124965602946e-02
4.880000000000004334e+00 1.192636400801954516e-01 6.993087564983319071e-02 4.933276443036225395e-02
4.900000000000004796e+00 1.210162904466119682e-01 7.020049913287970678e-02 5.081579131373223368e-02
4.920000000000005258e+00 1.247571207589621839e-01 7.149497334192425613e-02 5.326214741703790001e-02
4.940000000000004832e+00 1.306742528976442830e-01 7.388867295243869981e-02 5.678557994520547214e-02
4.960000000000004405e+00 1.389930446437723233e-01 7.747645263861796527e-02 6.151659200515430248e-02
4.980000000000004867e+00 1.499067377009780933e-01 8.233745952567170234e-02 6.756927817530633540e-02
5.000000000000005329e+00 1.635044860011649615e-01 8.849931471904717850e-02 7.500517128211794948e-02
5.020000000000004903e+00 1.797050023126530172e-01 9.590642718232215980e-02 8.379857513033081573e-02
5.040000000000004476e+00 1.982065187698819619e-01 1.043971212776188540e-01 9.380939749226302471e-02
5.060000000000004938e+00 2.184647554552776039e-01 1.136946269121409669e-01 1.047701285431366647e-01
5.080000000000005400e+00 2.397084856004326470e-01 1.234160048385760239e-01 1.162924807618566370e-01
5.100000000000004974e+00 2.609963285190162741e-01 1.331003703570385333e-01 1.278959581619777408e-01
5.120000000000004547e+00 2.813093559534752819e-01 1.422536541822761458e-01 1.390557017711992471e-01
5.140000000000005009e+00 2.996642930595613263e-01 1.504026597546720412e-01 1.492616333048894794e-01
5.160000000000005471e+00 3.152247719501935497e-01 1.571478419377749791e-01 1.580769300124188481e-01
5.180000000000005045e+00 3.273862217934797592e-01 1.622034252992293757e-01 1.651827964942504390e-01
5.200000000000004619e+00 3.358150053968471660e-01 1.654158755485367616e-01 1.703991298483106820e-01
5.220000000000005080e+00 3.404335157713673232e-01 1.667569438844465624e-01 1.736765718869205388e-01
